Timestamp [ms],Filename,Frame,X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees]
17484.6,snapshot_130.png,2038981,-2505.88,-235.574,156.439,-50.7492,-11.4563,4.83325
17618.8,snapshot_131.png,2038995,-2582.12,-367.836,170.226,-172.754,-3.62595,6.64056
17754.4,snapshot_132.png,2039008,-2576.87,-396.739,171.165,-173.962,-1.89809,3.54886
17889.3,snapshot_133.png,2039022,-2578.73,-431.516,169.727,-172.62,-3.33398,4.80989
18020.399999999998,snapshot_134.png,2039035,-2573.42,-461.187,170.977,-173.419,-1.7467,1.78641
18154.0,snapshot_135.png,2039048,-2571.29,-491.579,170.513,-173.642,-1.6081,1.8126
18288.0,snapshot_136.png,2039062,-2569.33,-524.45,171.267,-172.129,-4.17539,7.27741
18423.100000000002,snapshot_137.png,2039075,-2567.8,-554.69,168.106,-174.221,0.247204,2.4713
18555.1,snapshot_138.png,2039089,-2562.81,-586.568,171.208,-174.025,-1.33949,1.74608
18684.8,snapshot_139.png,2039101,-2558.26,-613.752,171.798,-173.954,-1.19559,1.63375
18825.0,snapshot_140.png,2039116,-2554.44,-648.339,172.166,-174.296,-0.804305,2.31934
18954.4,snapshot_141.png,2039128,-2550.97,-676.303,173.11,-174.024,-1.18444,2.19851
19091.2,snapshot_142.png,2039142,-2547.64,-708.487,173.804,-173.949,-1.14464,1.05111
19220.8,snapshot_143.png,2039155,-2544.28,-738.417,174.126,-174.131,-0.914307,1.734
19352.399999999998,snapshot_144.png,2039168,-2538.19,-762.984,174.127,-170.982,-0.155389,0.539766
19490.8,snapshot_145.png,2039182,-2534.09,-773.802,173.236,-162.584,0.130573,0.586358
19623.6,snapshot_146.png,2039195,-2525.3,-780.273,174.842,-152.671,-0.0081876,0.87442
19754.899999999998,snapshot_147.png,2039209,-2521.32,-784.577,174.804,-143.067,0.0207204,0.897534
19888.7,snapshot_148.png,2039222,-2521.3,-785.211,174.834,-142.625,0.0329483,0.873317
20020.9,snapshot_149.png,2039233,-2521.19,-785.249,174.868,-142.622,-0.0186384,0.924105
20157.0,snapshot_150.png,2039243,-2519.78,-786.733,174.776,-142.517,-0.132002,0.929631
20293.1,snapshot_151.png,2039254,-2507.55,-803.791,174.52,-142.591,-0.0894608,0.836961
20423.0,snapshot_152.png,2039274,-2475.7,-845.227,173.901,-142.664,-0.0854378,0.937844
20557.600000000002,snapshot_153.png,2039284,-2459.04,-867.168,173.679,-142.797,-0.122777,1.09553
